data,estado,casos,mortes
2022-01-01,AC,2,0
2022-01-01,AL,11,0
2022-01-01,AM,37,1
2022-01-01,AP,32,0
2022-01-01,BA,171,1
2022-01-01,CE,710,0
2022-01-01,DF,0,0
2022-01-01,ES,53,2
2022-01-01,GO,9,0
2022-01-01,MA,49,0
2022-01-01,MG,568,0
2022-01-01,MS,0,0
2022-01-01,MT,51,1
2022-01-01,PA,9,1
2022-01-01,PB,176,1
2022-01-01,PE,206,7
2022-01-01,PI,18,0
2022-01-01,PR,654,0
2022-01-01,RJ,28,5
2022-01-01,RN,23,0
2022-01-01,RO,34,3
2022-01-01,RR,0,0
2022-01-01,RS,0,0
2022-01-01,SC,335,2
2022-01-01,SE,8,0
2022-01-01,SP,361,8
2022-01-01,TO,0,0
2022-01-02,AC,0,0
2022-01-02,AL,13,0
2022-01-02,AM,32,1
2022-01-02,AP,20,0
2022-01-02,BA,126,3
2022-01-02,CE,168,6
2022-01-02,DF,0,0
2022-01-02,ES,179,1
2022-01-02,GO,-9,0
2022-01-02,MA,3,1
2022-01-02,MG,0,0
2022-01-02,MS,138,3
2022-01-02,MT,48,2
2022-01-02,PA,6,1
2022-01-02,PB,54,2
2022-01-02,PE,59,6
2022-01-02,PI,58,4
2022-01-02,PR,580,1
2022-01-02,RJ,73,0
2022-01-02,RN,167,1
2022-01-02,RO,32,2
2022-01-02,RR,0,0
2022-01-02,RS,0,0
2022-01-02,SC,219,1
2022-01-02,SE,1,0
2022-01-02,SP,112,3
2022-01-02,TO,359,3
2022-01-03,AC,9,0
2022-01-03,AL,4,0
2022-01-03,AM,88,1
2022-01-03,AP,47,1
2022-01-03,BA,95,9
2022-01-03,CE,170,3
2022-01-03,DF,727,2
2022-01-03,ES,285,4
2022-01-03,GO,384,4
2022-01-03,MA,50,3
2022-01-03,MG,1611,9
2022-01-03,MS,167,1
2022-01-03,MT,357,5
2022-01-03,PA,449,5
2022-01-03,PB,25,1
2022-01-03,PE,58,5
2022-01-03,PI,34,2
2022-01-03,PR,604,1
2022-01-03,RJ,3938,0
2022-01-03,RN,377,4
2022-01-03,RO,91,3
2022-01-03,RR,134,0
2022-01-03,RS,1329,1
2022-01-03,SC,480,5
2022-01-03,SE,0,1
2022-01-03,SP,164,0
2022-01-03,TO,637,2
2022-01-04,AC,0,1
2022-01-04,AL,57,0
2022-01-04,AM,172,0
2022-01-04,AP,67,0
2022-01-04,BA,712,19
2022-01-04,CE,125,8
2022-01-04,DF,602,2
2022-01-04,ES,650,2
2022-01-04,GO,343,0
2022-01-04,MA,161,3
2022-01-04,MG,2410,15
2022-01-04,MS,25,4
2022-01-04,MT,699,5
2022-01-04,PA,719,10
2022-01-04,PB,39,0
2022-01-04,PE,272,8
2022-01-04,PI,24,2
2022-01-04,PR,2607,9
2022-01-04,RJ,2540,41
2022-01-04,RN,394,3
2022-01-04,RO,254,3
2022-01-04,RR,116,0
2022-01-04,RS,1427,15
2022-01-04,SC,2014,4
2022-01-04,SE,18,1
2022-01-04,SP,1944,26
2022-01-04,TO,563,1
2022-01-05,AC,0,0
